ist1102618@lab3p5:~/computerOrganization/lab1_kit/spark$ ./spark 
size	stride	elapsed(s)	cycles
[LOG]: running with array of size 4 KiB
4096	1	0.000842	843
4096	2	0.000837	837
4096	4	0.000842	842
4096	8	0.000826	827
4096	16	0.000846	846
4096	32	0.000812	812
4096	64	0.000806	806
4096	128	0.000839	839
4096	256	0.000738	738
4096	512	0.000731	731
4096	1024	0.000717	717
4096	2048	0.000719	719
[LOG]: running with array of size 8 KiB
8192	1	0.001688	1688
8192	2	0.001685	1685
8192	4	0.001674	1674
8192	8	0.001647	1647
8192	16	0.001677	1677
8192	32	0.001659	1659
8192	64	0.001653	1654
8192	128	0.001637	1637
8192	256	0.001670	1670
8192	512	0.001461	1460
8192	1024	0.001446	1446
8192	2048	0.001522	1522
8192	4096	0.001564	1564
[LOG]: running with array of size 16 KiB
16384	1	0.003361	3361
16384	2	0.003350	3350
16384	4	0.003349	3348
16384	8	0.003278	3278
16384	16	0.003364	3364
16384	32	0.003345	3345
16384	64	0.003323	3323
16384	128	0.003286	3285
16384	256	0.003231	3231
16384	512	0.003212	3213
16384	1024	0.002962	2962
16384	2048	0.003127	3126
16384	4096	0.003250	3251
16384	8192	0.003106	3106
[LOG]: running with array of size 32 KiB
32768	1	0.006622	6623
32768	2	0.006630	6630
32768	4	0.006593	6593
32768	8	0.006486	6486
32768	16	0.006403	6403
32768	32	0.006721	6720
32768	64	0.006627	6626
32768	128	0.006639	6640
32768	256	0.006451	6451
32768	512	0.006385	6385
32768	1024	0.006569	6569
32768	2048	0.006116	6116
32768	4096	0.006606	6606
32768	8192	0.006499	6499
32768	16384	0.006229	6229
[LOG]: running with array of size 64 KiB
65536	1	0.011956	11957
65536	2	0.011910	11909
65536	4	0.013168	13168
65536	8	0.013299	13299
65536	16	0.013003	13003
65536	32	0.012804	12804
65536	64	0.011383	11383
65536	128	0.011896	11896
65536	256	0.011083	11083
65536	512	0.011264	11264
65536	1024	0.011518	11518
65536	2048	0.014521	14521
65536	4096	0.030258	30257
65536	8192	0.013186	13186
65536	16384	0.012969	12969
65536	32768	0.012415	12414
[LOG]: running with array of size 128 KiB
131072	1	0.023985	23985
131072	2	0.023826	23826
131072	4	0.026285	26285
131072	8	0.026809	26809
131072	16	0.026155	26155
131072	32	0.025499	25499
131072	64	0.022689	22689
131072	128	0.023688	23688
131072	256	0.022000	22000
131072	512	0.022111	22111
131072	1024	0.022228	22227
131072	2048	0.027356	27356
131072	4096	0.097482	97481
131072	8192	0.060318	60318
131072	16384	0.026457	26457
131072	32768	0.025979	25980
131072	65536	0.024827	24827
[LOG]: running with array of size 256 KiB
262144	1	0.048100	48101
262144	2	0.047619	47619
262144	4	0.052767	52768
262144	8	0.053100	53100
262144	16	0.052223	52223
262144	32	0.051438	51438
262144	64	0.047270	47270
262144	128	0.054531	54531
262144	256	0.052981	52981
262144	512	0.054328	54328
262144	1024	0.057756	57756
262144	2048	0.075071	75071
262144	4096	0.202218	202218
262144	8192	0.194364	194364
262144	16384	0.123583	123583
262144	32768	0.052608	52608
262144	65536	0.051853	51853
262144	131072	0.049858	49858
[LOG]: running with array of size 512 KiB
524288	1	0.096064	96064
524288	2	0.095186	95186
524288	4	0.105332	105332
524288	8	0.105549	105549
524288	16	0.104724	104723
524288	32	0.103084	103084
524288	64	0.098854	98854
524288	128	0.124261	124262
524288	256	0.133390	133390
524288	512	0.139986	139986
524288	1024	0.143335	143335
524288	2048	0.142236	142236
524288	4096	0.418713	418712
524288	8192	0.408103	408103
524288	16384	0.382565	382565
524288	32768	0.267620	267620
524288	65536	0.111766	111766
524288	131072	0.103821	103821
524288	262144	0.099383	99383
[LOG]: running with array of size 1024 KiB
1048576	1	0.192284	192284
1048576	2	0.190592	190591
1048576	4	0.210465	210465
1048576	8	0.210623	210622
1048576	16	0.208838	208838
1048576	32	0.205158	205158
1048576	64	0.197813	197813
1048576	128	0.250255	250256
1048576	256	0.281656	281656
1048576	512	0.299402	299401
1048576	1024	0.302098	302098
1048576	2048	0.286552	286552
1048576	4096	0.844767	844766
1048576	8192	0.831914	831914
1048576	16384	0.785598	785597
1048576	32768	0.783836	783836
1048576	65536	0.658093	658092
1048576	131072	0.223051	223050
1048576	262144	0.207619	207619
1048576	524288	0.198878	198878
[LOG]: running with array of size 2048 KiB
2097152	1	0.384287	384286
2097152	2	0.380275	380275
2097152	4	0.421021	421020
2097152	8	0.421377	421377
2097152	16	0.417799	417799
2097152	32	0.404521	404520
2097152	64	0.416091	416091
2097152	128	0.502156	502156
2097152	256	0.564473	564473
2097152	512	0.600540	600540
2097152	1024	0.607966	607966
2097152	2048	0.572768	572768
2097152	4096	1.734615	1734614
2097152	8192	1.715126	1715125
2097152	16384	1.676835	1676835
2097152	32768	1.714861	1714860
2097152	65536	1.734095	1734095
2097152	131072	1.516852	1516852
2097152	262144	0.447523	447523
2097152	524288	0.415364	415364
2097152	1048576	0.398799	398799
[LOG]: running with array of size 4096 KiB
4194304	1	0.770498	770498
4194304	2	0.761937	761937
4194304	4	0.841917	841917
4194304	8	0.843646	843646
4194304	16	0.836257	836256
4194304	32	0.808602	808601
4194304	64	0.829872	829871
4194304	128	0.998955	998955
4194304	256	1.125723	1125723
4194304	512	1.195803	1195803
4194304	1024	1.210310	1210310
4194304	2048	1.139287	1139287
4194304	4096	3.400337	3400337
4194304	8192	3.385874	3385873
4194304	16384	3.381783	3381783
4194304	32768	3.400800	3400799
4194304	65536	3.380446	3380445
4194304	131072	3.382461	3382460
4194304	262144	2.848527	2848526
4194304	524288	0.907688	907688
4194304	1048576	0.831232	831232
4194304	2097152	0.796378	796378
