ist1102618@lab6p8:~/lab1_oc/lab1_kit/spark$ ./spark 
size	stride	elapsed(s)	cycles
[LOG]: running with array of size 4 KiB
4096	1	0.000993	993
4096	2	0.000958	958
4096	4	0.000930	930
4096	8	0.000923	923
4096	16	0.000949	948
4096	32	0.000959	959
4096	64	0.000881	881
4096	128	0.000864	865
4096	256	0.000859	859
4096	512	0.000812	812
4096	1024	0.000797	797
4096	2048	0.000841	841
[LOG]: running with array of size 8 KiB
8192	1	0.001933	1933
8192	2	0.001928	1929
8192	4	0.001890	1890
8192	8	0.001824	1824
8192	16	0.001859	1859
8192	32	0.001811	1811
8192	64	0.001835	1835
8192	128	0.001683	1683
8192	256	0.001730	1731
8192	512	0.001691	1692
8192	1024	0.001681	1680
8192	2048	0.001720	1720
8192	4096	0.001751	1751
[LOG]: running with array of size 16 KiB
16384	1	0.003687	3687
16384	2	0.003669	3669
16384	4	0.003686	3686
16384	8	0.003567	3567
16384	16	0.003681	3682
16384	32	0.003650	3650
16384	64	0.003607	3607
16384	128	0.003605	3605
16384	256	0.003354	3354
16384	512	0.003287	3288
16384	1024	0.003256	3257
16384	2048	0.003433	3433
16384	4096	0.003562	3562
16384	8192	0.003405	3405
[LOG]: running with array of size 32 KiB
32768	1	0.007274	7274
32768	2	0.007285	7285
32768	4	0.007200	7200
32768	8	0.007048	7048
32768	16	0.006827	6826
32768	32	0.006704	6703
32768	64	0.007282	7282
32768	128	0.007247	7247
32768	256	0.007195	7195
32768	512	0.006826	6825
32768	1024	0.006577	6576
32768	2048	0.006737	6737
32768	4096	0.007225	7225
32768	8192	0.007127	7128
32768	16384	0.006809	6808
[LOG]: running with array of size 64 KiB
65536	1	0.013013	13013
65536	2	0.012507	12508
65536	4	0.013995	13995
65536	8	0.014685	14684
65536	16	0.014766	14766
65536	32	0.014371	14371
65536	64	0.012233	12233
65536	128	0.012272	12272
65536	256	0.012419	12419
65536	512	0.012662	12662
65536	1024	0.012165	12165
65536	2048	0.014372	14372
65536	4096	0.033165	33165
65536	8192	0.014494	14493
65536	16384	0.014250	14250
65536	32768	0.013617	13617
[LOG]: running with array of size 128 KiB
131072	1	0.026021	26018
131072	2	0.024893	24893
131072	4	0.028189	28188
131072	8	0.029391	29390
131072	16	0.029031	29031
131072	32	0.028520	28519
131072	64	0.024668	24668
131072	128	0.024453	24453
131072	256	0.024721	24721
131072	512	0.025069	25069
131072	1024	0.024921	24921
131072	2048	0.028433	28434
131072	4096	0.107309	107308
131072	8192	0.066422	66423
131072	16384	0.028936	28936
131072	32768	0.028479	28479
131072	65536	0.027254	27254
[LOG]: running with array of size 256 KiB
262144	1	0.052131	52131
262144	2	0.049838	49838
262144	4	0.056622	56621
262144	8	0.058404	58404
262144	16	0.057721	57721
262144	32	0.056067	56067
262144	64	0.051437	51437
262144	128	0.056326	56325
262144	256	0.061170	61170
262144	512	0.062639	62639
262144	1024	0.065737	65736
262144	2048	0.134796	134796
262144	4096	0.229237	229237
262144	8192	0.215950	215951
262144	16384	0.172769	172769
262144	32768	0.059423	59423
262144	65536	0.059532	59532
262144	131072	0.054523	54523
[LOG]: running with array of size 512 KiB
524288	1	0.104424	104423
524288	2	0.099671	99674
524288	4	0.113570	113570
524288	8	0.115996	115996
524288	16	0.114353	114354
524288	32	0.109741	109741
524288	64	0.110523	110522
524288	128	0.133196	133197
524288	256	0.159672	159672
524288	512	0.166398	166398
524288	1024	0.172757	172757
524288	2048	0.162202	162202
524288	4096	0.457606	457606
524288	8192	0.425640	425639
524288	16384	0.431419	431419
524288	32768	0.296112	296111
524288	65536	0.122799	122799
524288	131072	0.119417	119417
524288	262144	0.109190	109190
[LOG]: running with array of size 1024 KiB
1048576	1	0.208853	208853
1048576	2	0.199667	199666
1048576	4	0.226793	226793
1048576	8	0.231044	231045
1048576	16	0.228364	228365
1048576	32	0.218249	218249
1048576	64	0.222734	222733
1048576	128	0.274244	274243
1048576	256	0.339840	339839
1048576	512	0.356731	356731
1048576	1024	0.365770	365769
1048576	2048	0.327890	327890
1048576	4096	0.908796	908796
1048576	8192	0.881154	881154
1048576	16384	0.932246	932246
1048576	32768	0.928260	928260
1048576	65536	0.593733	593733
1048576	131072	0.245342	245342
1048576	262144	0.238162	238162
1048576	524288	0.218227	218227
[LOG]: running with array of size 2048 KiB
2097152	1	0.412532	412533
2097152	2	0.398759	398759
2097152	4	0.453916	453916
2097152	8	0.461922	461922
2097152	16	0.451678	451678
2097152	32	0.437633	437633
2097152	64	0.446230	446230
2097152	128	0.548956	548956
2097152	256	0.681326	681327
2097152	512	0.716194	716194
2097152	1024	0.742754	742753
